cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,droplet,Lung,0,0
DN1 thymic pro-T cell,droplet,Lung,4,0
DN1 thymic pro-T cell,droplet,Lung,5,0
DN1 thymic pro-T cell,droplet,Lung,6,0
DN1 thymic pro-T cell,droplet,Lung,9,0
DN1 thymic pro-T cell,droplet,Lung,10,0
DN1 thymic pro-T cell,droplet,Lung,11,0
DN1 thymic pro-T cell,droplet,Lung,14,0
DN1 thymic pro-T cell,droplet,Lung,17,0
DN1 thymic pro-T cell,droplet,Lung,18,0
DN1 thymic pro-T cell,droplet,Lung,19,0
DN1 thymic pro-T cell,droplet,Lung,20,0
DN1 thymic pro-T cell,droplet,Lung,23,0
DN1 thymic pro-T cell,droplet,Lung,24,0
DN1 thymic pro-T cell,droplet,Lung,28,0
DN1 thymic pro-T cell,droplet,Lung,31,0
DN1 thymic pro-T cell,droplet,Lung,32,0
DN1 thymic pro-T cell,droplet,Lung,34,0
DN1 thymic pro-T cell,droplet,Lung,39,0
DN1 thymic pro-T cell,droplet,Lung,43,0
DN1 thymic pro-T cell,droplet,Lung,44,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,0,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,4,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,5,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,6,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,9,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,10,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,11,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,14,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,17,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,18,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,19,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,20,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,23,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,24,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,28,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,31,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,32,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,34,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,39,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,43,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,44,0
DN1 thymic pro-T cell,droplet,Marrow,0,0
DN1 thymic pro-T cell,droplet,Marrow,4,0
DN1 thymic pro-T cell,droplet,Marrow,5,0
DN1 thymic pro-T cell,droplet,Marrow,6,0
DN1 thymic pro-T cell,droplet,Marrow,9,0
DN1 thymic pro-T cell,droplet,Marrow,10,0
DN1 thymic pro-T cell,droplet,Marrow,11,0
DN1 thymic pro-T cell,droplet,Marrow,14,0
DN1 thymic pro-T cell,droplet,Marrow,17,0
DN1 thymic pro-T cell,droplet,Marrow,18,0
DN1 thymic pro-T cell,droplet,Marrow,19,0
DN1 thymic pro-T cell,droplet,Marrow,20,0
DN1 thymic pro-T cell,droplet,Marrow,23,0
DN1 thymic pro-T cell,droplet,Marrow,24,0
DN1 thymic pro-T cell,droplet,Marrow,28,0
DN1 thymic pro-T cell,droplet,Marrow,31,0
DN1 thymic pro-T cell,droplet,Marrow,32,0
DN1 thymic pro-T cell,droplet,Marrow,34,0
DN1 thymic pro-T cell,droplet,Marrow,39,0
DN1 thymic pro-T cell,droplet,Marrow,43,0
DN1 thymic pro-T cell,droplet,Marrow,44,0
DN1 thymic pro-T cell,droplet,Spleen,0,0
DN1 thymic pro-T cell,droplet,Spleen,4,0
DN1 thymic pro-T cell,droplet,Spleen,5,0
DN1 thymic pro-T cell,droplet,Spleen,6,0
DN1 thymic pro-T cell,droplet,Spleen,9,0
DN1 thymic pro-T cell,droplet,Spleen,10,0
DN1 thymic pro-T cell,droplet,Spleen,11,0
DN1 thymic pro-T cell,droplet,Spleen,14,0
DN1 thymic pro-T cell,droplet,Spleen,17,0
DN1 thymic pro-T cell,droplet,Spleen,18,0
DN1 thymic pro-T cell,droplet,Spleen,19,0
DN1 thymic pro-T cell,droplet,Spleen,20,0
DN1 thymic pro-T cell,droplet,Spleen,23,0
DN1 thymic pro-T cell,droplet,Spleen,24,0
DN1 thymic pro-T cell,droplet,Spleen,28,0
DN1 thymic pro-T cell,droplet,Spleen,31,0
DN1 thymic pro-T cell,droplet,Spleen,32,0
DN1 thymic pro-T cell,droplet,Spleen,34,0
DN1 thymic pro-T cell,droplet,Spleen,39,0
DN1 thymic pro-T cell,droplet,Spleen,43,0
DN1 thymic pro-T cell,droplet,Spleen,44,0
DN1 thymic pro-T cell,droplet,Thymus,0,0
DN1 thymic pro-T cell,droplet,Thymus,4,43
DN1 thymic pro-T cell,droplet,Thymus,5,0
DN1 thymic pro-T cell,droplet,Thymus,6,0
DN1 thymic pro-T cell,droplet,Thymus,9,0
DN1 thymic pro-T cell,droplet,Thymus,10,0
DN1 thymic pro-T cell,droplet,Thymus,11,1
DN1 thymic pro-T cell,droplet,Thymus,14,0
DN1 thymic pro-T cell,droplet,Thymus,17,0
DN1 thymic pro-T cell,droplet,Thymus,18,0
DN1 thymic pro-T cell,droplet,Thymus,19,0
DN1 thymic pro-T cell,droplet,Thymus,20,0
DN1 thymic pro-T cell,droplet,Thymus,23,0
DN1 thymic pro-T cell,droplet,Thymus,24,0
DN1 thymic pro-T cell,droplet,Thymus,28,0
DN1 thymic pro-T cell,droplet,Thymus,31,0
DN1 thymic pro-T cell,droplet,Thymus,32,0
DN1 thymic pro-T cell,droplet,Thymus,34,0
DN1 thymic pro-T cell,droplet,Thymus,39,0
DN1 thymic pro-T cell,droplet,Thymus,43,0
DN1 thymic pro-T cell,droplet,Thymus,44,0
T cell,FACS,Kidney,0,0
T cell,FACS,Kidney,4,0
T cell,FACS,Kidney,5,0
T cell,FACS,Kidney,6,0
T cell,FACS,Kidney,9,0
T cell,FACS,Kidney,10,0
T cell,FACS,Kidney,11,0
T cell,FACS,Kidney,14,0
T cell,FACS,Kidney,17,0
T cell,FACS,Kidney,18,0
T cell,FACS,Kidney,19,0
T cell,FACS,Kidney,20,0
T cell,FACS,Kidney,23,0
T cell,FACS,Kidney,24,0
T cell,FACS,Kidney,28,0
T cell,FACS,Kidney,31,0
T cell,FACS,Kidney,32,0
T cell,FACS,Kidney,34,0
T cell,FACS,Kidney,39,0
T cell,FACS,Kidney,43,0
T cell,FACS,Kidney,44,0
T cell,FACS,Limb_Muscle,0,0
T cell,FACS,Limb_Muscle,4,16
T cell,FACS,Limb_Muscle,5,0
T cell,FACS,Limb_Muscle,6,0
T cell,FACS,Limb_Muscle,9,0
T cell,FACS,Limb_Muscle,10,0
T cell,FACS,Limb_Muscle,11,17
