cell_ontology_class,platform,tissue,leiden_r1_0,n_cells
DN1 thymic pro-T cell,droplet,Kidney,56,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,0,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,3,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,4,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,8,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,9,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,12,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,13,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,15,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,18,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,19,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,20,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,21,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,25,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,28,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,32,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,33,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,36,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,38,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,39,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,42,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,44,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,49,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,50,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,53,0
DN1 thymic pro-T cell,droplet,Limb_Muscle,56,0
DN1 thymic pro-T cell,droplet,Lung,0,0
DN1 thymic pro-T cell,droplet,Lung,3,0
DN1 thymic pro-T cell,droplet,Lung,4,0
DN1 thymic pro-T cell,droplet,Lung,8,0
DN1 thymic pro-T cell,droplet,Lung,9,0
DN1 thymic pro-T cell,droplet,Lung,12,0
DN1 thymic pro-T cell,droplet,Lung,13,0
DN1 thymic pro-T cell,droplet,Lung,15,0
DN1 thymic pro-T cell,droplet,Lung,18,0
DN1 thymic pro-T cell,droplet,Lung,19,0
DN1 thymic pro-T cell,droplet,Lung,20,0
DN1 thymic pro-T cell,droplet,Lung,21,0
DN1 thymic pro-T cell,droplet,Lung,25,0
DN1 thymic pro-T cell,droplet,Lung,28,0
DN1 thymic pro-T cell,droplet,Lung,32,0
DN1 thymic pro-T cell,droplet,Lung,33,0
DN1 thymic pro-T cell,droplet,Lung,36,0
DN1 thymic pro-T cell,droplet,Lung,38,0
DN1 thymic pro-T cell,droplet,Lung,39,0
DN1 thymic pro-T cell,droplet,Lung,42,0
DN1 thymic pro-T cell,droplet,Lung,44,0
DN1 thymic pro-T cell,droplet,Lung,49,0
DN1 thymic pro-T cell,droplet,Lung,50,0
DN1 thymic pro-T cell,droplet,Lung,53,0
DN1 thymic pro-T cell,droplet,Lung,56,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,0,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,3,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,4,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,8,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,9,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,12,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,13,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,15,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,18,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,19,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,20,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,21,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,25,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,28,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,32,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,33,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,36,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,38,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,39,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,42,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,44,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,49,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,50,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,53,0
DN1 thymic pro-T cell,droplet,Mammary_Gland,56,0
DN1 thymic pro-T cell,droplet,Marrow,0,0
DN1 thymic pro-T cell,droplet,Marrow,3,0
DN1 thymic pro-T cell,droplet,Marrow,4,0
DN1 thymic pro-T cell,droplet,Marrow,8,0
DN1 thymic pro-T cell,droplet,Marrow,9,0
DN1 thymic pro-T cell,droplet,Marrow,12,0
DN1 thymic pro-T cell,droplet,Marrow,13,0
DN1 thymic pro-T cell,droplet,Marrow,15,0
DN1 thymic pro-T cell,droplet,Marrow,18,0
DN1 thymic pro-T cell,droplet,Marrow,19,0
DN1 thymic pro-T cell,droplet,Marrow,20,0
DN1 thymic pro-T cell,droplet,Marrow,21,0
DN1 thymic pro-T cell,droplet,Marrow,25,0
DN1 thymic pro-T cell,droplet,Marrow,28,0
DN1 thymic pro-T cell,droplet,Marrow,32,0
DN1 thymic pro-T cell,droplet,Marrow,33,0
DN1 thymic pro-T cell,droplet,Marrow,36,0
DN1 thymic pro-T cell,droplet,Marrow,38,0
DN1 thymic pro-T cell,droplet,Marrow,39,0
DN1 thymic pro-T cell,droplet,Marrow,42,0
DN1 thymic pro-T cell,droplet,Marrow,44,0
DN1 thymic pro-T cell,droplet,Marrow,49,0
DN1 thymic pro-T cell,droplet,Marrow,50,0
DN1 thymic pro-T cell,droplet,Marrow,53,0
DN1 thymic pro-T cell,droplet,Marrow,56,0
DN1 thymic pro-T cell,droplet,Spleen,0,0
DN1 thymic pro-T cell,droplet,Spleen,3,0
DN1 thymic pro-T cell,droplet,Spleen,4,0
